state,county,NAME,population,median_age,median_household_income,population_below_poverty,housing_units
48,475,"Ward County, Texas",11144,34.5,65952,1644,5165
48,477,"Washington County, Texas",36647,40.9,77825,4574,17642
48,479,"Webb County, Texas",269294,30.0,63058,56731,88176
48,481,"Wharton County, Texas",41794,38.1,66924,5589,17711
48,483,"Wheeler County, Texas",4862,41.3,60167,732,2606
48,485,"Wichita County, Texas",129996,35.3,63524,19500,55750
48,487,"Wilbarger County, Texas",12616,40.5,54102,2121,5845
48,489,"Willacy County, Texas",20139,34.3,54180,4393,6885
48,491,"Williamson County, Texas",672688,37.3,111340,42919,262644
48,493,"Wilson County, Texas",52781,40.7,94565,5904,19480
48,495,"Winkler County, Texas",7454,35.1,86900,1196,3227
48,497,"Wise County, Texas",75005,39.5,93421,6536,27530
48,499,"Wood County, Texas",46961,48.5,60300,5625,22388
48,501,"Yoakum County, Texas",7571,32.3,84925,1258,3028
48,503,"Young County, Texas",18029,41.6,68010,2934,8545
48,505,"Zapata County, Texas",13841,32.3,39239,5190,6255
48,507,"Zavala County, Texas",9412,30.8,36749,3174,3946
